LETTER ANALYSIS
Letter    Freq    Freq%    AvgFreq%    Diff
   A      45       10.2       8.2       2.0
   B      10       2.3       1.5       0.8
   C      12       2.7       2.8       -0.1
   D      15       3.4       4.3       -0.9
   E      73       16.6       12.7       3.9
   F      4       0.9       2.2       -1.3
   G      5       1.1       2.0       -0.9
   H      17       3.9       6.1       -2.2
   I      19       4.3       7.0       -2.7
   J      1       0.2       0.2       0.0
   K      2       0.5       0.8       -0.3
   L      18       4.1       4.0       0.1
   M      20       4.5       2.4       2.1
   N      25       5.7       6.7       -1.0
   O      24       5.5       7.5       -2.0
   P      9       2.0       1.9       0.1
   Q      0       0.0       0.1       -0.1
   R      28       6.4       6.0       0.4
   S      38       8.6       6.3       2.3
   T      37       8.4       9.1       -0.7
   U      14       3.2       2.8       0.4
   V      7       1.6       1.0       0.6
   W      5       1.1       2.4       -1.3
   X      0       0.0       0.2       -0.2
   Y      12       2.7       2.0       0.7
   Z      0       0.0       0.1       -0.1
The most frequent letter is E at 16.6
